Table 1
САЙТ №1 СМЕНА КОНТРАКТА С 01.04;;;;;;;Сводная таблица по результатам подбора параметров;;;;;;;;;;;;;
САЙТ №1 СМЕНА КОНТРАКТА С 01.04;;;;;;;;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;;;;;;;;;;;;;;
Лотность;переменная;;;;;;;;;;;;;;;;;;;
Timeframe;5 минут;;;;;;;;;;;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;;;;;;;;;;;;;
Пирамидинг;2;2;3;3;2;;;;;;;;;;;;;;;
Сумма перед тестированием;24 708,76 ₽;;;;;;;;;;;;;;;;;;;
Сумма после тестирования*;29 550,22 ₽;;;;;;;;;;;;;;;;;;;
Результаты;Пн 21.04.2025г.;Вт 22.04.2025г.;Ср 23.04.2025г.;Чт 24.04.2025г.;Пт 25.04.2025г.;;;;;;;;;;;;;;;
дн.клира;-97,36 ₽;40,39 ₽;1 140,48 ₽;-345,94 ₽;1 085,39 ₽;;;;;;;;;;;;;;;
веч.клира;993,80 ₽;-415,19 ₽;3 636,62 ₽;171,95 ₽;-176,19 ₽;;;;;;;;;;;;;;;
кол-во сделок;23;18;2;14;8;;;;;;;;;;;;;;;
лотность;1;1;1;1;1;;;;;;;;;;;;;;;
комиссия;647,75 ₽;489,18 ₽;55,56 ₽;;;;;;;;;;;;;;;;;
Заработок;248,69 ₽;-863,98 ₽;4 721,54 ₽;-173,99 ₽;909,20 ₽;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
4 841,46 ₽;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
САЙТ №1 СМЕНА КОНТРАКТА С 01.04;;;;;;;;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;;;;;;;;;;;;;;
Лотность;переменная;;;;;;;;;;;;;;;;;;;
Timeframe;5 минут;;;;;;;;;;;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;;;;;;;;;;;;;
Пирамидинг;2;2;3;3;2;;;;;;;;;;;;;;;
Сумма перед тестированием;29 550,22 ₽;;;;;;;;;;;;;;;;;;;
Сумма после тестирования*;30 779,05 ₽;;;;;;;;;;;;;;;;;;;
Результаты;Пн 28.04.2025г.;Вт 29.04.2025г.;Ср 30.04.2025г.;;;;;;;;;;;;;;;;;
дн.клира;-24,82 ₽;1 262,92 ₽;701,46 ₽;;;;;;;;;;;;;;;;;
веч.клира;1 609,73 ₽;555,92 ₽;-1 410,45 ₽;;;;;;;;;;;;;;;;;
кол-во сделок;11;4;41;;;;;;;;;;;;;;;;;
лотность;1;1;1;;;;;;;;;;;;;;;;;
комиссия;329,29 ₽;118,98 ₽;1 017,66 ₽;;;;;;;;;;;;;;;;;
Заработок;1 255,62 ₽;1 699,86 ₽;-1 726,65 ₽;;;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
1 228,83 ₽;;;;;;;;;;;;;;;;;;;;
